OID_;LOCATION;LOC_LABEL;CATEGORY;PATTERN;PERC_HOT;PERC_COLD;TREND_Z;TREND_P;TREND_BIN;SUM_VALUE;MIN_VALUE;MAX_VALUE;MEAN_VALUE;STD_VALUE;MED_VALUE;Shape_Length;Shape_Area
370;369;412680;6;Sporadic Hot Spot;58,333333333333336;0,000000000000000;1,028588221985612;0,303673229364477;0,000000000000000;314,963932139326630;17,422581892793101;37,925176786631397;26,246994344943886;5,601376756348415;25,123080366403151;155038,898726855637506;703298738,361667513847351
371;370;412690;6;Sporadic Hot Spot;75,000000000000000;0,000000000000000;1,988603895838851;0,046744941055475;2,000000000000000;354,132713932692923;15,554212576395500;51,190299681803303;29,511059494391077;9,367930566733310;29,280096680588301;146301,153284613130381;513999301,360123038291931
372;371;412700;0;No Pattern Detected;0,000000000000000;16,666666666666664;2,125748992103599;0,033524165235725;2,000000000000000;288,449581794704955;19,232844507547700;31,617526374635499;24,037465149558745;3,239060311829976;23,100124552396849;261688,806218123587314;1102078058,564491510391235
373;372;412710;7;Oscillating Hot Spot;33,333333333333329;16,666666666666664;2,811474473427341;0,004931500366174;3,000000000000000;262,090107492730908;13,403192396734500;28,081223903396701;21,840842291060909;4,006753370109888;21,557378274566450;280600,284426130179781;1659588112,189896106719971
374;373;412720;7;Oscillating Hot Spot;41,666666666666671;16,666666666666664;0,480007836926619;0,631221822134132;0,000000000000000;299,508990821671773;16,948699437895201;38,546255506607899;24,959082568472649;6,320633860281557;25,593206434588602;95950,229050067471690;381777820,114921748638153
375;374;412730;7;Oscillating Hot Spot;58,333333333333336;8,333333333333332;1,577168607044606;0,114756734314102;0,000000000000000;320,480849268337238;13,489208633093501;51,824213521560999;26,706737439028103;9,671052882663620;24,558981294862200;134214,563931269047316;821728297,281531453132629
376;375;412740;7;Oscillating Hot Spot;16,666666666666664;25,000000000000000;2,674329377162592;0,007487886814862;3,000000000000000;304,661805824489704;12,595119391235899;33,296658848765396;25,388483818707474;6,381856265226635;27,125083606567451;160008,746398366027279;960439139,986338973045349
377;376;412750;1;New Hot Spot;8,333333333333332;0,000000000000000;1,714313703309354;0,086471127773228;1,000000000000000;306,898543682682543;18,994007085321599;31,909501647421401;25,574878640223545;3,327588768822536;25,454833243354500;460350,358389704255387;3596929576,133614540100098
378;377;412760;-5;Diminishing Cold Spot;0,000000000000000;100,000000000000000;2,400039184633096;0,016393316888342;2,000000000000000;227,502136797432513;13,391883895481000;21,710642126469399;18,958511399786044;2,364123398246829;19,677846512702551;218130,701235462271143;828266637,064102888107300
379;378;412770;-4;Persistent Cold Spot;0,000000000000000;91,666666666666657;-1,165733318250361;0,243722304997819;0,000000000000000;253,157791846158517;16,946580479191699;27,473347152872300;21,096482653846543;2,930879548094526;21,027417053678299;325609,294392463110853;1448167456,960371017456055
