Municipio,MUNIC_RES,ANO_CMPT,pop_ac60,n_densito,tx_densito10k,data
ABATIA,410010,2010,1121,0,0,01/01/2010
ADRIANOPOLIS,410020,2010,931,0,0,01/01/2010
AGUDOS DO SUL,410030,2010,994,0,0,01/01/2010
ALMIRANTE TAMANDARE,410040,2010,7321,0,0,01/01/2010
ALTAMIRA DO PARANA,410045,2010,567,0,0,01/01/2010
ALTONIA,410050,2010,3217,0,0,01/01/2010
ALTO PARANA,410060,2010,1740,0,0,01/01/2010
ALTO PIQUIRI,410070,2010,1485,0,0,01/01/2010
ALVORADA DO SUL,410080,2010,1444,1,6.92520775623269,01/01/2010
AMAPORA,410090,2010,500,0,0,01/01/2010
AMPERE,410100,2010,2008,0,0,01/01/2010
ANAHY,410105,2010,449,0,0,01/01/2010
ANDIRA,410110,2010,3048,0,0,01/01/2010
ANGULO,410115,2010,389,0,0,01/01/2010
ANTONINA,410120,2010,2692,0,0,01/01/2010
ANTONIO OLINTO,410130,2010,1028,0,0,01/01/2010
APUCARANA,410140,2010,15189,0,0,01/01/2010
ARAPONGAS,410150,2010,12466,0,0,01/01/2010
ARAPOTI,410160,2010,2481,0,0,01/01/2010
ARAPUA,410165,2010,607,0,0,01/01/2010
ARARUNA,410170,2010,1743,0,0,01/01/2010
ARAUCARIA,410180,2010,8814,0,0,01/01/2010
ARIRANHA DO IVAI,410185,2010,414,0,0,01/01/2010
ASSAI,410190,2010,2533,0,0,01/01/2010
ASSIS CHATEAUBRIAND,410200,2010,5091,0,0,01/01/2010
ASTORGA,410210,2010,3624,0,0,01/01/2010
ATALAIA,410220,2010,624,0,0,01/01/2010
BALSA NOVA,410230,2010,1137,0,0,01/01/2010
BANDEIRANTES,410240,2010,4412,0,0,01/01/2010
BARBOSA FERRAZ,410250,2010,2089,0,0,01/01/2010
BARRACAO,410260,2010,1160,0,0,01/01/2010
BARRA DO JACARE,410270,2010,462,3,64.9350649350649,01/01/2010
BELA VISTA DA CAROBA,410275,2010,589,0,0,01/01/2010
BELA VISTA DO PARAISO,410280,2010,2436,4,16.4203612479475,01/01/2010
BITURUNA,410290,2010,1463,40,273.410799726589,01/01/2010
BOA ESPERANCA,410300,2010,683,0,0,01/01/2010
BOA ESPERANCA DO IGUACU,410302,2010,303,0,0,01/01/2010
BOA VENTURA DE SAO ROQUE,410304,2010,595,5,84.0336134453782,01/01/2010
BOA VISTA DA APARECIDA,410305,2010,1159,0,0,01/01/2010
BOCAIUVA DO SUL,410310,2010,1181,0,0,01/01/2010
BOM JESUS DO SUL,410315,2010,615,0,0,01/01/2010
BOM SUCESSO,410320,2010,885,0,0,01/01/2010
BOM SUCESSO DO SUL,410322,2010,489,0,0,01/01/2010
BORRAZOPOLIS,410330,2010,1361,0,0,01/01/2010
BRAGANEY,410335,2010,789,0,0,01/01/2010
BRASILANDIA DO SUL,410337,2010,505,0,0,01/01/2010
CAFEARA,410340,2010,371,3,80.8625336927224,01/01/2010
CAFELANDIA,410345,2010,1230,0,0,01/01/2010
CAFEZAL DO SUL,410347,2010,711,0,0,01/01/2010
CALIFORNIA,410350,2010,1143,0,0,01/01/2010
CAMBARA,410360,2010,3494,4,11.4481969089868,01/01/2010
CAMBE,410370,2010,11493,95,82.6590098320717,01/01/2010
CAMBIRA,410380,2010,1008,0,0,01/01/2010
CAMPINA DA LAGOA,410390,2010,2185,0,0,01/01/2010
CAMPINA DO SIMAO,410395,2010,379,0,0,01/01/2010
CAMPINA GRANDE DO SUL,410400,2010,2971,0,0,01/01/2010
CAMPO BONITO,410405,2010,527,0,0,01/01/2010
CAMPO DO TENENTE,410410,2010,640,0,0,01/01/2010
CAMPO LARGO,410420,2010,10670,0,0,01/01/2010
CAMPO MAGRO,410425,2010,2024,0,0,01/01/2010
CAMPO MOURAO,410430,2010,9924,176,177.347843611447,01/01/2010
CANDIDO DE ABREU,410440,2010,2049,0,0,01/01/2010
CANDOI,410442,2010,1324,8,60.4229607250755,01/01/2010
CANTAGALO,410445,2010,1319,1,7.58150113722517,01/01/2010
CAPANEMA,410450,2010,2722,0,0,01/01/2010
CAPITAO LEONIDAS MARQUES,410460,2010,1911,0,0,01/01/2010
CARAMBEI,410465,2010,1423,0,0,01/01/2010
CARLOPOLIS,410470,2010,1879,14,74.5077168706759,01/01/2010
CASCAVEL,410480,2010,26061,0,0,01/01/2010
CASTRO,410490,2010,6526,0,0,01/01/2010
CATANDUVAS,410500,2010,1158,0,0,01/01/2010
CENTENARIO DO SUL,410510,2010,1602,3,18.7265917602996,01/01/2010
CERRO AZUL,410520,2010,1866,0,0,01/01/2010
CEU AZUL,410530,2010,1497,0,0,01/01/2010
CHOPINZINHO,410540,2010,2447,12,49.0396403759706,01/01/2010
CIANORTE,410550,2010,8278,47,56.7769992751873,01/01/2010
CIDADE GAUCHA,410560,2010,1255,0,0,01/01/2010
CLEVELANDIA,410570,2010,2189,6,27.4097761534948,01/01/2010
COLOMBO,410580,2010,15696,1,0.63710499490316,01/01/2010
COLORADO,410590,2010,3023,0,0,01/01/2010
CONGONHINHAS,410600,2010,1214,0,0,01/01/2010
CONSELHEIRO MAIRINCK,410610,2010,528,0,0,01/01/2010
CONTENDA,410620,2010,1723,0,0,01/01/2010
CORBELIA,410630,2010,2030,0,0,01/01/2010
CORNELIO PROCOPIO,410640,2010,6894,0,0,01/01/2010
CORONEL DOMINGOS SOARES,410645,2010,595,0,0,01/01/2010
CORONEL VIVIDA,410650,2010,3017,8,26.5164070268479,01/01/2010
CORUMBATAI DO SUL,410655,2010,629,0,0,01/01/2010
CRUZEIRO DO IGUACU,410657,2010,535,0,0,01/01/2010
CRUZEIRO DO OESTE,410660,2010,3054,0,0,01/01/2010
CRUZEIRO DO SUL,410670,2010,582,0,0,01/01/2010
CRUZ MACHADO,410680,2010,1960,1,5.10204081632653,01/01/2010
CRUZMALTINA,410685,2010,465,0,0,01/01/2010
CURITIBA,410690,2010,200895,15,0.746658702307176,01/01/2010
CURIUVA,410700,2010,1701,0,0,01/01/2010
DIAMANTE DO NORTE,410710,2010,872,0,0,01/01/2010
DIAMANTE DO SUL,410712,2010,397,0,0,01/01/2010
DIAMANTE D'OESTE,410715,2010,667,0,0,01/01/2010
DOIS VIZINHOS,410720,2010,3732,0,0,01/01/2010
DOURADINA,410725,2010,982,0,0,01/01/2010
DOUTOR CAMARGO,410730,2010,1062,0,0,01/01/2010
ENEAS MARQUES,410740,2010,800,0,0,01/01/2010
ENGENHEIRO BELTRAO,410750,2010,1852,0,0,01/01/2010
ESPERANCA NOVA,410752,2010,380,0,0,01/01/2010
ENTRE RIOS DO OESTE,410753,2010,514,0,0,01/01/2010
ESPIGAO ALTO DO IGUACU,410754,2010,665,0,0,01/01/2010
FAROL,410755,2010,449,0,0,01/01/2010
FAXINAL,410760,2010,2270,0,0,01/01/2010
FAZENDA RIO GRANDE,410765,2010,5051,0,0,01/01/2010
FENIX,410770,2010,740,0,0,01/01/2010
FERNANDES PINHEIRO,410773,2010,596,0,0,01/01/2010
FIGUEIRA,410775,2010,1217,11,90.3861955628595,01/01/2010
FLORAI,410780,2010,922,0,0,01/01/2010
FLOR DA SERRA DO SUL,410785,2010,583,0,0,01/01/2010
FLORESTA,410790,2010,776,0,0,01/01/2010
FLORESTOPOLIS,410800,2010,1298,3,23.1124807395994,01/01/2010
FLORIDA,410810,2010,370,0,0,01/01/2010
FORMOSA DO OESTE,410820,2010,1366,0,0,01/01/2010
FOZ DO IGUACU,410830,2010,20610,239,115.963124696749,01/01/2010
FRANCISCO ALVES,410832,2010,1129,0,0,01/01/2010
FRANCISCO BELTRAO,410840,2010,8375,0,0,01/01/2010
FOZ DO JORDAO,410845,2010,539,0,0,01/01/2010
GENERAL CARNEIRO,410850,2010,1248,8,64.1025641025641,01/01/2010
GODOY MOREIRA,410855,2010,580,0,0,01/01/2010
GOIOERE,410860,2010,3959,0,0,01/01/2010
GOIOXIM,410865,2010,686,0,0,01/01/2010
GRANDES RIOS,410870,2010,899,0,0,01/01/2010
GUAIRA,410880,2010,3759,0,0,01/01/2010
GUAIRACA,410890,2010,790,0,0,01/01/2010
GUAMIRANGA,410895,2010,835,0,0,01/01/2010
GUAPIRAMA,410900,2010,485,0,0,01/01/2010
GUAPOREMA,410910,2010,317,0,0,01/01/2010
GUARACI,410920,2010,793,0,0,01/01/2010
GUARANIACU,410930,2010,2014,0,0,01/01/2010
GUARAPUAVA,410940,2010,16136,1,0.619732275656916,01/01/2010
GUARAQUECABA,410950,2010,930,0,0,01/01/2010
GUARATUBA,410960,2010,3741,0,0,01/01/2010
HONORIO SERPA,410965,2010,582,0,0,01/01/2010
IBAITI,410970,2010,3639,10,27.4800769442154,01/01/2010
IBEMA,410975,2010,701,0,0,01/01/2010
IBIPORA,410980,2010,5978,6,10.0368016058883,01/01/2010
ICARAIMA,410990,2010,1434,0,0,01/01/2010
IGUARACU,411000,2010,506,0,0,01/01/2010
IGUATU,411005,2010,350,0,0,01/01/2010
IMBAU,411007,2010,1215,0,0,01/01/2010
IMBITUVA,411010,2010,2653,0,0,01/01/2010
INACIO MARTINS,411020,2010,986,0,0,01/01/2010
INAJA,411030,2010,421,0,0,01/01/2010
INDIANOPOLIS,411040,2010,690,9,130.434782608696,01/01/2010
IPIRANGA,411050,2010,1359,0,0,01/01/2010
IPORA,411060,2010,2458,0,0,01/01/2010
IRACEMA DO OESTE,411065,2010,426,0,0,01/01/2010
IRATI,411070,2010,6608,0,0,01/01/2010
IRETAMA,411080,2010,1530,0,0,01/01/2010
ITAGUAJE,411090,2010,605,0,0,01/01/2010
ITAIPULANDIA,411095,2010,1026,0,0,01/01/2010
ITAMBARACA,411100,2010,981,0,0,01/01/2010
ITAMBE,411110,2010,842,0,0,01/01/2010
ITAPEJARA D'OESTE,411120,2010,1454,0,0,01/01/2010
ITAPERUCU,411125,2010,1641,0,0,01/01/2010
ITAUNA DO SUL,411130,2010,560,0,0,01/01/2010
IVAI,411140,2010,1405,0,0,01/01/2010
IVAIPORA,411150,2010,4805,0,0,01/01/2010
IVATE,411155,2010,951,0,0,01/01/2010
IVATUBA,411160,2010,389,0,0,01/01/2010
JABOTI,411170,2010,678,5,73.7463126843658,01/01/2010
JACAREZINHO,411180,2010,4880,13,26.6393442622951,01/01/2010
JAGUAPITA,411190,2010,1602,6,37.4531835205993,01/01/2010
JAGUARIAIVA,411200,2010,2948,0,0,01/01/2010
JANDAIA DO SUL,411210,2010,3139,0,0,01/01/2010
JANIOPOLIS,411220,2010,1075,0,0,01/01/2010
JAPIRA,411230,2010,693,1,14.4300144300144,01/01/2010
JAPURA,411240,2010,1322,0,0,01/01/2010
JARDIM ALEGRE,411250,2010,1937,0,0,01/01/2010
JARDIM OLINDA,411260,2010,172,0,0,01/01/2010
JATAIZINHO,411270,2010,1420,4,28.169014084507,01/01/2010
JESUITAS,411275,2010,1640,0,0,01/01/2010
JOAQUIM TAVORA,411280,2010,1537,3,19.5185426154847,01/01/2010
JUNDIAI DO SUL,411290,2010,516,2,38.7596899224806,01/01/2010
JURANDA,411295,2010,941,0,0,01/01/2010
JUSSARA,411300,2010,884,9,101.809954751131,01/01/2010
KALORE,411310,2010,872,0,0,01/01/2010
LAPA,411320,2010,5029,0,0,01/01/2010
LARANJAL,411325,2010,547,0,0,01/01/2010
LARANJEIRAS DO SUL,411330,2010,3541,0,0,01/01/2010
LEOPOLIS,411340,2010,622,0,0,01/01/2010
LIDIANOPOLIS,411342,2010,719,0,0,01/01/2010
LINDOESTE,411345,2010,769,0,0,01/01/2010
LOANDA,411350,2010,2705,0,0,01/01/2010
LOBATO,411360,2010,515,0,0,01/01/2010
LONDRINA,411370,2010,65355,352,53.8596893887231,01/01/2010
LUIZIANA,411373,2010,830,0,0,01/01/2010
LUNARDELLI,411375,2010,832,0,0,01/01/2010
LUPIONOPOLIS,411380,2010,720,3,41.6666666666667,01/01/2010
MALLET,411390,2010,1681,0,0,01/01/2010
MAMBORE,411400,2010,1752,0,0,01/01/2010
MANDAGUACU,411410,2010,2417,0,0,01/01/2010
MANDAGUARI,411420,2010,4618,0,0,01/01/2010
MANDIRITUBA,411430,2010,2393,0,0,01/01/2010
MANFRINOPOLIS,411435,2010,379,0,0,01/01/2010
MANGUEIRINHA,411440,2010,1693,0,0,01/01/2010
MANOEL RIBAS,411450,2010,1606,0,0,01/01/2010
MARECHAL CANDIDO RONDON,411460,2010,6073,0,0,01/01/2010
MARIA HELENA,411470,2010,914,0,0,01/01/2010
MARIALVA,411480,2010,4187,0,0,01/01/2010
MARILANDIA DO SUL,411490,2010,1152,0,0,01/01/2010
MARILENA,411500,2010,994,0,0,01/01/2010
MARILUZ,411510,2010,1373,0,0,01/01/2010
MARINGA,411520,2010,43750,75,17.1428571428571,01/01/2010
MARIOPOLIS,411530,2010,826,2,24.2130750605327,01/01/2010
MARIPA,411535,2010,961,0,0,01/01/2010
MARMELEIRO,411540,2010,1812,0,0,01/01/2010
MARQUINHO,411545,2010,531,1,18.8323917137476,01/01/2010
MARUMBI,411550,2010,675,0,0,01/01/2010
MATELANDIA,411560,2010,1838,0,0,01/01/2010
MATINHOS,411570,2010,3599,0,0,01/01/2010
MATO RICO,411573,2010,461,0,0,01/01/2010
MAUA DA SERRA,411575,2010,724,0,0,01/01/2010
MEDIANEIRA,411580,2010,4393,0,0,01/01/2010
MERCEDES,411585,2010,744,0,0,01/01/2010
MIRADOR,411590,2010,308,0,0,01/01/2010
MIRASELVA,411600,2010,332,0,0,01/01/2010
MISSAL,411605,2010,1637,0,0,01/01/2010
MOREIRA SALES,411610,2010,1954,0,0,01/01/2010
MORRETES,411620,2010,2082,0,0,01/01/2010
MUNHOZ DE MELO,411630,2010,626,0,0,01/01/2010
NOSSA SENHORA DAS GRACAS,411640,2010,515,0,0,01/01/2010
NOVA ALIANCA DO IVAI,411650,2010,156,0,0,01/01/2010
NOVA AMERICA DA COLINA,411660,2010,443,0,0,01/01/2010
NOVA AURORA,411670,2010,1729,0,0,01/01/2010
NOVA CANTU,411680,2010,985,0,0,01/01/2010
NOVA ESPERANCA,411690,2010,3699,1,2.70343336036767,01/01/2010
NOVA ESPERANCA DO SUDOESTE,411695,2010,649,0,0,01/01/2010
NOVA FATIMA,411700,2010,1146,0,0,01/01/2010
NOVA LARANJEIRAS,411705,2010,1249,0,0,01/01/2010
NOVA LONDRINA,411710,2010,1648,0,0,01/01/2010
NOVA OLIMPIA,411720,2010,903,0,0,01/01/2010
NOVA SANTA BARBARA,411721,2010,623,0,0,01/01/2010
NOVA SANTA ROSA,411722,2010,1220,0,0,01/01/2010
NOVA PRATA DO IGUACU,411725,2010,1381,0,0,01/01/2010
NOVA TEBAS,411727,2010,1070,0,0,01/01/2010
NOVO ITACOLOMI,411729,2010,457,0,0,01/01/2010
ORTIGUEIRA,411730,2010,2893,0,0,01/01/2010
OURIZONA,411740,2010,533,0,0,01/01/2010
OURO VERDE DO OESTE,411745,2010,744,0,0,01/01/2010
PAICANDU,411750,2010,3691,0,0,01/01/2010
PALMAS,411760,2010,3291,0,0,01/01/2010
PALMEIRA,411770,2010,3481,0,0,01/01/2010
PALMITAL,411780,2010,1707,1,5.85823081429408,01/01/2010
PALOTINA,411790,2010,3560,0,0,01/01/2010
PARAISO DO NORTE,411800,2010,1432,0,0,01/01/2010
PARANACITY,411810,2010,1165,0,0,01/01/2010
PARANAGUA,411820,2010,12705,0,0,01/01/2010
PARANAPOEMA,411830,2010,282,0,0,01/01/2010
PARANAVAI,411840,2010,11146,0,0,01/01/2010
PATO BRAGADO,411845,2010,701,0,0,01/01/2010
PATO BRANCO,411850,2010,7395,168,227.180527383367,01/01/2010
PAULA FREITAS,411860,2010,727,11,151.30674002751,01/01/2010
PAULO FRONTIN,411870,2010,898,7,77.9510022271715,01/01/2010
PEABIRU,411880,2010,1808,0,0,01/01/2010
PEROBAL,411885,2010,816,0,0,01/01/2010
PEROLA,411890,2010,1692,0,0,01/01/2010
PEROLA D'OESTE,411900,2010,1020,0,0,01/01/2010
PIEN,411910,2010,996,0,0,01/01/2010
PINHAIS,411915,2010,9884,0,0,01/01/2010
PINHALAO,411920,2010,854,1,11.7096018735363,01/01/2010
PINHAL DE SAO BENTO,411925,2010,308,0,0,01/01/2010
PINHAO,411930,2010,2562,4,15.6128024980484,01/01/2010
PIRAI DO SUL,411940,2010,2786,0,0,01/01/2010
PIRAQUARA,411950,2010,6113,0,0,01/01/2010
PITANGA,411960,2010,3698,23,62.1957815035154,01/01/2010
PITANGUEIRAS,411965,2010,345,0,0,01/01/2010
PLANALTINA DO PARANA,411970,2010,588,0,0,01/01/2010
PLANALTO,411980,2010,2122,0,0,01/01/2010
PONTA GROSSA,411990,2010,32717,0,0,01/01/2010
PONTAL DO PARANA,411995,2010,2787,0,0,01/01/2010
PORECATU,412000,2010,2095,3,14.3198090692124,01/01/2010
PORTO AMAZONAS,412010,2010,494,0,0,01/01/2010
PORTO BARREIRO,412015,2010,418,0,0,01/01/2010
PORTO RICO,412020,2010,302,0,0,01/01/2010
PORTO VITORIA,412030,2010,520,7,134.615384615385,01/01/2010
PRADO FERREIRA,412033,2010,467,0,0,01/01/2010
PRANCHITA,412035,2010,839,0,0,01/01/2010
PRESIDENTE CASTELO BRANCO,412040,2010,525,0,0,01/01/2010
PRIMEIRO DE MAIO,412050,2010,1720,2,11.6279069767442,01/01/2010
PRUDENTOPOLIS,412060,2010,5836,0,0,01/01/2010
QUARTO CENTENARIO,412065,2010,633,0,0,01/01/2010
QUATIGUA,412070,2010,1049,3,28.5986653956149,01/01/2010
QUATRO BARRAS,412080,2010,1675,0,0,01/01/2010
QUATRO PONTES,412085,2010,623,0,0,01/01/2010
QUEDAS DO IGUACU,412090,2010,3187,0,0,01/01/2010
QUERENCIA DO NORTE,412100,2010,1387,0,0,01/01/2010
QUINTA DO SOL,412110,2010,725,0,0,01/01/2010
QUITANDINHA,412120,2010,2098,0,0,01/01/2010
RAMILANDIA,412125,2010,482,0,0,01/01/2010
RANCHO ALEGRE,412130,2010,699,0,0,01/01/2010
RANCHO ALEGRE D'OESTE,412135,2010,367,0,0,01/01/2010
REALEZA,412140,2010,2230,0,0,01/01/2010
REBOUCAS,412150,2010,1692,0,0,01/01/2010
RENASCENCA,412160,2010,810,0,0,01/01/2010
RESERVA,412170,2010,2733,0,0,01/01/2010
RESERVA DO IGUACU,412175,2010,523,0,0,01/01/2010
RIBEIRAO CLARO,412180,2010,1644,4,24.330900243309,01/01/2010
RIBEIRAO DO PINHAL,412190,2010,2064,0,0,01/01/2010
RIO AZUL,412200,2010,1560,0,0,01/01/2010
RIO BOM,412210,2010,607,0,0,01/01/2010
RIO BONITO DO IGUACU,412215,2010,1232,0,0,01/01/2010
RIO BRANCO DO IVAI,412217,2010,429,0,0,01/01/2010
RIO BRANCO DO SUL,412220,2010,2513,1,3.97930760047752,01/01/2010
RIO NEGRO,412230,2010,3448,0,0,01/01/2010
ROLANDIA,412240,2010,7246,6,8.28043058239028,01/01/2010
RONCADOR,412250,2010,1524,0,0,01/01/2010
RONDON,412260,2010,1126,38,337.477797513322,01/01/2010
ROSARIO DO IVAI,412265,2010,910,0,0,01/01/2010
SABAUDIA,412270,2010,776,0,0,01/01/2010
SALGADO FILHO,412280,2010,608,0,0,01/01/2010
SALTO DO ITARARE,412290,2010,842,0,0,01/01/2010
SALTO DO LONTRA,412300,2010,1652,0,0,01/01/2010
SANTA AMELIA,412310,2010,562,0,0,01/01/2010
SANTA CECILIA DO PAVAO,412320,2010,571,0,0,01/01/2010
SANTA CRUZ DE MONTE CASTELO,412330,2010,1217,0,0,01/01/2010
SANTA FE,412340,2010,1441,0,0,01/01/2010
SANTA HELENA,412350,2010,3127,0,0,01/01/2010
SANTA INES,412360,2010,259,0,0,01/01/2010
SANTA ISABEL DO IVAI,412370,2010,1480,0,0,01/01/2010
SANTA IZABEL DO OESTE,412380,2010,1722,0,0,01/01/2010
SANTA LUCIA,412382,2010,651,0,0,01/01/2010
SANTA MARIA DO OESTE,412385,2010,1293,0,0,01/01/2010
SANTA MARIANA,412390,2010,2162,0,0,01/01/2010
SANTA MONICA,412395,2010,434,0,0,01/01/2010
SANTANA DO ITARARE,412400,2010,738,2,27.10027100271,01/01/2010
SANTA TEREZA DO OESTE,412402,2010,1016,0,0,01/01/2010
SANTA TEREZINHA DE ITAIPU,412405,2010,2159,0,0,01/01/2010
SANTO ANTONIO DA PLATINA,412410,2010,5488,3,5.466472303207,01/01/2010
SANTO ANTONIO DO CAIUA,412420,2010,409,0,0,01/01/2010
SANTO ANTONIO DO PARAISO,412430,2010,346,0,0,01/01/2010
SANTO ANTONIO DO SUDOESTE,412440,2010,2385,0,0,01/01/2010
SANTO INACIO,412450,2010,701,0,0,01/01/2010
SAO CARLOS DO IVAI,412460,2010,785,0,0,01/01/2010
SAO JERONIMO DA SERRA,412470,2010,1497,0,0,01/01/2010
SAO JOAO,412480,2010,1578,0,0,01/01/2010
SAO JOAO DO CAIUA,412490,2010,790,0,0,01/01/2010
SAO JOAO DO IVAI,412500,2010,1881,0,0,01/01/2010
SAO JOAO DO TRIUNFO,412510,2010,1331,0,0,01/01/2010
SAO JORGE D'OESTE,412520,2010,1284,0,0,01/01/2010
SAO JORGE DO IVAI,412530,2010,925,0,0,01/01/2010
SAO JORGE DO PATROCINIO,412535,2010,1027,2,19.4741966893866,01/01/2010
SAO JOSE DA BOA VISTA,412540,2010,961,0,0,01/01/2010
SAO JOSE DAS PALMEIRAS,412545,2010,541,0,0,01/01/2010
SAO JOSE DOS PINHAIS,412550,2010,19798,0,0,01/01/2010
SAO MANOEL DO PARANA,412555,2010,328,0,0,01/01/2010
SAO MATEUS DO SUL,412560,2010,4119,5,12.1388686574411,01/01/2010
SAO MIGUEL DO IGUACU,412570,2010,2969,0,0,01/01/2010
SAO PEDRO DO IGUACU,412575,2010,987,0,0,01/01/2010
SAO PEDRO DO IVAI,412580,2010,1249,0,0,01/01/2010
SAO PEDRO DO PARANA,412590,2010,372,0,0,01/01/2010
SAO SEBASTIAO DA AMOREIRA,412600,2010,1172,0,0,01/01/2010
SAO TOME,412610,2010,649,14,215.716486902928,01/01/2010
SAPOPEMA,412620,2010,836,0,0,01/01/2010
SARANDI,412625,2010,8147,0,0,01/01/2010
SAUDADE DO IGUACU,412627,2010,571,0,0,01/01/2010
SENGES,412630,2010,1662,0,0,01/01/2010
SERRANOPOLIS DO IGUACU,412635,2010,788,0,0,01/01/2010
SERTANEJA,412640,2010,971,0,0,01/01/2010
SERTANOPOLIS,412650,2010,2178,2,9.18273645546373,01/01/2010
SIQUEIRA CAMPOS,412660,2010,2435,0,0,01/01/2010
SULINA,412665,2010,574,0,0,01/01/2010
TAMARANA,412667,2010,1330,2,15.0375939849624,01/01/2010
TAMBOARA,412670,2010,685,0,0,01/01/2010
TAPEJARA,412680,2010,1648,0,0,01/01/2010
TAPIRA,412690,2010,1025,0,0,01/01/2010
TEIXEIRA SOARES,412700,2010,1070,0,0,01/01/2010
TELEMACO BORBA,412710,2010,7173,0,0,01/01/2010
TERRA BOA,412720,2010,2227,0,0,01/01/2010
TERRA RICA,412730,2010,2119,0,0,01/01/2010
TERRA ROXA,412740,2010,2433,0,0,01/01/2010
TIBAGI,412750,2010,2010,0,0,01/01/2010
TIJUCAS DO SUL,412760,2010,1723,0,0,01/01/2010
TOLEDO,412770,2010,12142,0,0,01/01/2010
TOMAZINA,412780,2010,1353,5,36.9549150036955,01/01/2010
TRES BARRAS DO PARANA,412785,2010,1436,0,0,01/01/2010
TUNAS DO PARANA,412788,2010,415,0,0,01/01/2010
TUNEIRAS DO OESTE,412790,2010,1137,0,0,01/01/2010
TUPASSI,412795,2010,1275,0,0,01/01/2010
TURVO,412796,2010,1457,0,0,01/01/2010
UBIRATA,412800,2010,3078,0,0,01/01/2010
UMUARAMA,412810,2010,12755,8,6.27205017640141,01/01/2010
UNIAO DA VITORIA,412820,2010,6043,27,44.6797948039054,01/01/2010
UNIFLOR,412830,2010,341,0,0,01/01/2010
URAI,412840,2010,1953,0,0,01/01/2010
WENCESLAU BRAZ,412850,2010,2597,2,7.70119368502118,01/01/2010
VENTANIA,412853,2010,979,0,0,01/01/2010
VERA CRUZ DO OESTE,412855,2010,1349,0,0,01/01/2010
VERE,412860,2010,1149,0,0,01/01/2010
ALTO PARAISO,412862,2010,423,0,0,01/01/2010
DOUTOR ULYSSES,412863,2010,597,0,0,01/01/2010
VIRMOND,412865,2010,492,0,0,01/01/2010
VITORINO,412870,2010,897,0,0,01/01/2010
XAMBRE,412880,2010,1084,0,0,01/01/2010
ABATIA,410010,2011,1147,0,0,01/01/2011
ADRIANOPOLIS,410020,2011,946,0,0,01/01/2011
AGUDOS DO SUL,410030,2011,1022,0,0,01/01/2011
ALMIRANTE TAMANDARE,410040,2011,7779,1,1.28551227664224,01/01/2011
ALTAMIRA DO PARANA,410045,2011,552,0,0,01/01/2011
ALTONIA,410050,2011,3289,0,0,01/01/2011
ALTO PARANA,410060,2011,1792,0,0,01/01/2011
ALTO PIQUIRI,410070,2011,1504,0,0,01/01/2011
ALVORADA DO SUL,410080,2011,1507,2,13.271400132714,01/01/2011
AMAPORA,410090,2011,521,0,0,01/01/2011
AMPERE,410100,2011,2078,0,0,01/01/2011
ANAHY,410105,2011,462,0,0,01/01/2011
ANDIRA,410110,2011,3135,0,0,01/01/2011
ANGULO,410115,2011,395,0,0,01/01/2011
ANTONINA,410120,2011,2755,0,0,01/01/2011
ANTONIO OLINTO,410130,2011,1058,1,9.45179584120983,01/01/2011
APUCARANA,410140,2011,15852,0,0,01/01/2011
ARAPONGAS,410150,2011,13044,0,0,01/01/2011
ARAPOTI,410160,2011,2580,0,0,01/01/2011
ARAPUA,410165,2011,616,0,0,01/01/2011
ARARUNA,410170,2011,1811,0,0,01/01/2011
ARAUCARIA,410180,2011,9414,0,0,01/01/2011
ARIRANHA DO IVAI,410185,2011,420,0,0,01/01/2011
ASSAI,410190,2011,2578,2,7.75795190069822,01/01/2011
ASSIS CHATEAUBRIAND,410200,2011,5231,0,0,01/01/2011
ASTORGA,410210,2011,3754,0,0,01/01/2011
ATALAIA,410220,2011,642,0,0,01/01/2011
BALSA NOVA,410230,2011,1186,0,0,01/01/2011
BANDEIRANTES,410240,2011,4535,0,0,01/01/2011
BARBOSA FERRAZ,410250,2011,2119,0,0,01/01/2011
BARRACAO,410260,2011,1208,0,0,01/01/2011
BARRA DO JACARE,410270,2011,479,5,104.384133611691,01/01/2011
BELA VISTA DA CAROBA,410275,2011,600,0,0,01/01/2011
BELA VISTA DO PARAISO,410280,2011,2499,0,0,01/01/2011
BITURUNA,410290,2011,1525,30,196.72131147541,01/01/2011
BOA ESPERANCA,410300,2011,693,0,0,01/01/2011
BOA ESPERANCA DO IGUACU,410302,2011,311,0,0,01/01/2011
BOA VENTURA DE SAO ROQUE,410304,2011,617,2,32.4149108589951,01/01/2011
BOA VISTA DA APARECIDA,410305,2011,1190,0,0,01/01/2011
BOCAIUVA DO SUL,410310,2011,1217,0,0,01/01/2011
BOM JESUS DO SUL,410315,2011,638,0,0,01/01/2011
BOM SUCESSO,410320,2011,899,0,0,01/01/2011
BOM SUCESSO DO SUL,410322,2011,505,0,0,01/01/2011
BORRAZOPOLIS,410330,2011,1378,0,0,01/01/2011
BRAGANEY,410335,2011,799,0,0,01/01/2011
BRASILANDIA DO SUL,410337,2011,507,0,0,01/01/2011
CAFEARA,410340,2011,374,0,0,01/01/2011
CAFELANDIA,410345,2011,1316,0,0,01/01/2011
CAFEZAL DO SUL,410347,2011,725,0,0,01/01/2011
CALIFORNIA,410350,2011,1174,0,0,01/01/2011
CAMBARA,410360,2011,3592,1,2.78396436525612,01/01/2011
