POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,tx_remedio10k,cob_esf,tx_apac_densito10k,tx_quedas_100k,taxa%_plano_idoso,tx%alfabet_2022
77,410560,CIDADE GAUCHA,25.88632307,0.7535,21.9864526,1.0,102.4475132,489.175,1.003767492,0.8298
78,410570,CLEVELANDIA,23.06874836,0.6628,18.62197393,0.8982,27.3350076,644.9857143,0.07380319149,0.7044
79,410580,COLOMBO,19.20442125,0.7138,24.83476341,0.8737,42.14213444,340.4571429,0.01277519163,0.7716
80,410590,COLORADO,25.15807526,0.7502,53.56817622,1.0,0.5356817622,1203.957143,0.7805026348,0.8499
81,410600,CONGONHINHAS,21.59387495,0.6584,30.38647802,0.9061,6.330516254,757.5857143,1.433868974,0.7731
82,410610,CONSELHEIRO MAIRINCK,32.95653314,0.6996,32.85968028,0.7517,31.97158082,411.28,0.04225352113,0.6707
83,410620,CONTENDA,19.8136215,0.6833,38.46904901,1.0,86.89709041,191.4833333,0.00936329588,0.7579
84,410630,CORBELIA,21.08777071,0.7389,11.10465712,0.8778,0.854204394,99.7,0.04985241063,0.898
85,410640,CORNELIO PROCOPIO,21.59488705,0.7545,19.46200383,1.0,2.011576623,1184.928571,0.05039554644,0.8135
86,410645,CORONEL DOMINGOS SOARES,17.87144429,0.6864,29.92776058,1.0,12.38390093,1123.885714,2.548192771,0.8426
87,410650,CORONEL VIVIDA,22.81221375,0.7614,34.04412217,1.0,9.832237449,569.3428571,0.001937046005,0.6562
88,410655,CORUMBATAI DO SUL,27.85180169,0.6918,20.01931275,1.0,967.9926517,966.1,1.089311859,0.8533
89,410657,CRUZEIRO DO IGUACU,29.85050648,0.743,0.0,1.0,10.07319858,907.8,0.01044386423,0.6464
90,410660,CRUZEIRO DO OESTE,33.56397813,0.7471,43.42539517,1.0,37.84213008,610.8571429,0.01018675722,0.864
91,410670,CRUZEIRO DO SUL,23.4959297,0.6603,146.1519487,0.9351,9.250123335,835.2428571,0.02767749699,0.7427
92,410680,CRUZ MACHADO,30.12320077,0.6737,24.53596067,1.0,41.92552502,670.6428571,0.1030011115,0.7413
93,410685,CRUZMALTINA,29.4765271,0.7546,0.0,0.5237,0.0,309.4,0.3542757417,0.7388
94,410690,CURITIBA,19.65658793,0.884,62.06456751,1.0,69.14742024,155.1285714,5.424072032e-05,0.6364
95,410700,CURIUVA,29.38216798,0.6485,32.16622112,1.0,3.260089978,415.9714286,65.3169907,0.9505
96,410710,DIAMANTE DO NORTE,28.65288188,0.7602,85.6836844,1.0,15.61942164,1004.428571,0.05825242718,0.6653
97,410712,DIAMANTE DO SUL,18.04621468,0.6856,0.0,0.999,0.0,210.1,0.04814004376,0.7434
98,410715,DIAMANTE D'OESTE,18.20935058,0.6758,0.0,0.9672,0.0,123.5,0.08203991131,0.5553
99,410720,DOIS VIZINHOS,30.90578856,0.8389,25.16694071,1.0,52.01167746,742.4714286,0.0007893905905,0.6778
100,410725,DOURADINA,35.56582944,0.8274,0.0,1.0,69.37091533,471.6833333,0.4957865169,0.8344
101,410730,DOUTOR CAMARGO,18.75126377,0.7371,87.57876749,1.0,0.0,612.2285714,0.07867494824,0.7517
102,410740,ENEAS MARQUES,29.78829023,0.7266,174.8562345,1.0,105.1942587,826.9,0.4303912648,0.8394
103,410750,ENGENHEIRO BELTRAO,31.49784679,0.7572,18.37121582,1.0,347.8804698,1099.042857,0.001519756839,0.5733
104,410752,ESPERANCA NOVA,34.04200042,0.7682,6.113964294,1.0,158.9630717,583.38,0.09160305344,0.7909
105,410753,ENTRE RIOS DO OESTE,18.23112284,0.7313,0.0,1.0,0.0,190.68,0.4240654206,0.7488
106,410754,ESPIGAO ALTO DO IGUACU,18.93812846,0.6859,40.6454744,1.0,3.033244358,131.8,0.2334152334,0.9155
107,410755,FAROL,30.58919103,0.7076,0.0,0.6617,448.6453524,1219.171429,0.008635578584,0.7114
108,410760,FAXINAL,26.23192329,0.7213,14.35175141,1.0,1.668808304,727.4142857,0.004905166776,0.6822
109,410765,FAZENDA RIO GRANDE,19.21680526,0.7429,31.9116551,1.0,51.69898072,114.0285714,0.003247063318,0.6102
110,410770,FENIX,32.71990013,0.7179,50.2002941,1.0,187.6172608,1032.128571,0.2265084075,0.7046
111,410773,FERNANDES PINHEIRO,21.05238642,0.7447,78.38098297,1.0,0.0,704.2714286,1.047133758,0.8292
112,410775,FIGUEIRA,45.23681187,0.7301,22.92689228,1.0,11.30198915,285.9285714,0.05648267009,0.6973
113,410780,FLORAI,20.90073351,0.7868,60.01500375,1.0,0.0,506.5142857,0.004170141785,0.7809
114,410785,FLOR DA SERRA DO SUL,28.82418956,0.7303,26.93965517,1.0,41.90613027,992.9428571,0.1145833333,0.6704
