POLY_ID,MUNIC_RES,Localidade,txsuav10k,IPDM,ind_env%,tx_alf_5564,tx_alf_ac65,e2sfca_densito,tx_remedio10k,tx_consultas10k,ativcolet,cob_esf,tx_apac_densito10k,tx_cob_plano
238,411721,NOVA SANTA BARBARA,18.5975384561149,0.6816,0.7361,0.7784,0.5657,0.0608979016542435,43.0539609644087,0.0,0.0,1.0,0.0,3.4
239,411722,NOVA SANTA ROSA,17.8125841513176,0.7698,0.6932,0.95,0.9153,0.304993987083435,29.2371221026615,17.7080507580553,0.0,1.0,0.0,27.8
240,411725,NOVA PRATA DO IGUACU,26.7687056123627,0.728,0.5616,0.8802,0.7799,0.358002990484238,21.5285252960172,0.0,1.33333333333333,1.0,24.2195909580194,2.6
241,411727,NOVA TEBAS,37.2084106108715,0.6776,0.7994,0.7985,0.6431,0.341226011514664,0.0,0.0,39.5061728395062,1.0,16.6958844644795,1.1
242,411729,NOVO ITACOLOMI,31.1774011176803,0.7147,0.9225,0.8864,0.7248,0.204395994544029,0.0,0.0,0.0,1.0,0.0,2.0
243,411730,ORTIGUEIRA,21.3062966344806,0.7515,0.4967,0.788,0.6322,0.0027563800103962,7.68347907932714,8.64391396424301,2.0,0.5834,4.3219569821215,2.6
244,411740,OURIZONA,25.170586177601,0.7785,0.9541,0.8923,0.7654,0.529190003871918,105.209693803512,44.4420258307938,12.9230769230769,0.8074,0.0,24.4
245,411745,OURO VERDE DO OESTE,17.3201856318539,0.754,0.5568,0.8898,0.7869,0.325697988271713,28.34522529567,7.33066171439742,0.0,0.7588,0.0,14.8
246,411750,PAICANDU,19.162478147586,0.7185,0.4534,0.9159,0.7614,0.654555022716522,67.5594471628466,13.2200188857413,0.0,1.0,0.429221392394197,24.5
247,411760,PALMAS,18.3768964266377,0.6801,0.3396,0.8943,0.8047,0.0559729002416134,13.1652184926325,0.0,147.642857142857,1.0,7.49917509074002,11.4
248,411770,PALMEIRA,25.6822926177255,0.7571,0.5307,0.9558,0.8977,0.222758993506432,10.3621627167334,6.15574022776239,47.5714285714286,1.0,1.5389350569406,8.9
249,411780,PALMITAL,27.7451561177206,0.6825,0.5713,0.8336,0.6803,0.220620006322861,25.380130330399,0.0,1.0,1.0,40.0137189893678,2.7
250,411790,PALOTINA,18.7584844446163,0.8596,0.5575,0.9327,0.8532,0.264465004205704,59.1164806787789,10.02951212764,15.4791666666667,0.6092,0.461126994374251,20.0
251,411800,PARAISO DO NORTE,27.8100103897424,0.7872,0.5431,0.8927,0.7524,0.402810990810394,62.7755773111128,0.0,0.0,0.8141,29.8931320529108,17.9
252,411810,PARANACITY,24.7912626144135,0.6967,0.589,0.9051,0.7256,0.346307009458542,30.5469818945493,0.0,0.0,1.0,0.0,16.7
253,411820,PARANAGUA,18.9697063205805,0.7177,0.4193,0.9588,0.8997,0.0865681022405624,11.6924482911554,0.895973049130683,0.0,0.9495,24.1912723265284,22.0
254,411830,PARANAPOEMA,25.0423831399012,0.697,0.538,0.8378,0.7249,0.126899003982544,53.4056363486977,0.0,0.0,1.0,49.297510475721,1.6
255,411840,PARANAVAI,27.1849477755927,0.8165,0.6584,0.9446,0.8315,0.48955500125885,57.0998777774296,8.3675452066815,0.0,0.9018,2.50712964994202,19.8
256,411845,PATO BRAGADO,19.9424306565781,0.7652,0.6781,0.9639,0.917,0.263062000274658,65.3116672762422,0.0,15.625,1.0,5.22493338209938,21.5
257,411850,PATO BRANCO,22.9814513346153,0.8292,0.5201,0.9558,0.8917,0.611597001552582,105.625340468485,49.6282885250104,19.2,0.9511,207.084948889672,30.3
258,411860,PAULA FREITAS,29.836748323334,0.7396,0.6375,0.9406,0.8836,0.699186027050018,28.8623005877414,0.0,52.1891891891892,1.0,183.669185558354,1.8
259,411870,PAULO FRONTIN,26.1692141966966,0.7159,0.7869,0.9532,0.8878,0.477095007896423,38.3004189108318,0.0,0.0,1.0,81.7873528825055,1.9
260,411880,PEABIRU,29.5385749182036,0.7605,0.6434,0.8831,0.7747,0.417878985404968,23.4600452592024,1.03805509996471,18.6363636363636,0.9334,225.257956692341,11.9
261,411885,PEROBAL,35.8161601522771,0.7409,0.6386,0.9077,0.7595,0.278230994939804,24.2539037235517,24.2539037235517,1.0,1.0,32.3385382980689,2.0
262,411890,PEROLA,37.3036280215893,0.7549,0.8076,0.8937,0.7618,0.0976999998092651,60.2182913059842,10.8481480661516,9.72649572649573,1.0,29.8877548761319,4.5
263,411900,PEROLA D'OESTE,30.4856473546738,0.6936,0.9763,0.8965,0.8304,0.072104200720787,21.2134068731438,0.0,2.0,0.7673,21.2134068731438,2.1
264,411910,PIEN,20.9458476275,0.7651,0.4257,0.9513,0.8939,0.02516970038414,16.6419721273808,0.0,6.08333333333333,1.0,48.3154029504606,2.3
265,411915,PINHAIS,19.7090083715015,0.7887,0.5159,0.9672,0.9002,0.263976007699966,33.3389979761776,0.834247400701386,29.9083333333333,1.0,31.824993434164,20.4
266,411920,PINHALAO,31.4833509755504,0.7558,0.7527,0.86,0.7321,0.10402999818325,48.2362317016904,0.0,0.0,0.9626,12.5833647917453,2.7
267,411925,PINHAL DE SAO BENTO,36.8420254330209,0.7531,0.6957,0.8447,0.727,0.227846994996071,63.6511375947996,0.0,8.0,0.8695,16.2513542795233,0.2
268,411930,PINHAO,17.3101366201744,0.6777,0.3893,0.818,0.714,0.188466995954514,24.8056464811784,0.0,0.0,0.682,32.6053600654664,3.4
269,411940,PIRAI DO SUL,25.6004870636598,0.7126,0.517,0.9308,0.8458,0.0834560990333557,10.0845242360309,0.0,0.0,1.0,0.663455541844141,7.1
270,411950,PIRAQUARA,21.0978664840359,0.6488,0.2913,0.9345,0.8327,0.229101002216339,23.4829760283883,0.237201778064528,25.9737827715356,1.0,19.6877475793559,9.1
271,411960,PITANGA,29.0814383387626,0.7667,0.555,0.8989,0.7533,0.644905984401703,33.4782654468506,0.0,52.0,1.0,121.595586764505,6.2
272,411965,PITANGUEIRAS,26.7568454715314,0.7618,0.6638,0.8503,0.7609,0.258991986513138,0.0,0.0,0.0,1.0,5.04999495000505,3.3
273,411970,PLANALTINA DO PARANA,38.6017353455106,0.7167,0.6684,0.8856,0.6989,0.143544003367424,29.5450068938349,0.0,0.0,0.7748,55.8072352439104,9.1
274,411980,PLANALTO,31.0365308515972,0.7619,0.8526,0.9187,0.8437,0.0978310033679008,8.23002031239056,0.0,32.8461538461538,0.5112,2.62660222735869,1.5
275,411990,PONTA GROSSA,26.9027680503174,0.7602,0.4859,0.964,0.9121,0.259359985589981,26.4345643577581,1.11826594227884,12.7623762376238,1.0,1.81200499906293,20.9
276,411995,PONTAL DO PARANA,16.9613071456953,0.6175,0.7941,0.9601,0.9267,0.0235061999410391,25.0168840186818,1.18901540012746,0.0,1.0,68.4872870473418,8.9
277,412000,PORECATU,29.7657286142777,0.6546,0.9878,0.9121,0.7819,0.0548327006399632,11.1494609478011,0.0,0.0,1.0,6.78662840300939,18.7
278,412010,PORTO AMAZONAS,19.1166342691624,0.7729,0.5945,0.947,0.8556,0.172747999429703,43.5759515217539,0.0,0.0,1.0,3.40437121263703,5.0
279,412015,PORTO BARREIRO,25.2241377455045,0.7603,0.7038,0.89,0.792,0.0128945996984839,47.6479251494412,30.3214069132808,0.0,1.0,125.617257212163,0.9
280,412020,PORTO RICO,31.1692888083325,0.7656,0.5171,0.8508,0.7327,0.0209934003651142,0.0,0.0,0.0,0.9314,66.7799902865469,5.2
281,412030,PORTO VITORIA,23.6154219258606,0.761,0.6513,0.9632,0.8972,0.662663996219635,0.0,0.0,17.4193548387097,1.0,240.847784200385,1.9
282,412033,PRADO FERREIRA,27.3121401891709,0.7325,0.6415,0.8296,0.666,0.183008000254631,81.1151362419279,0.0,12.0,0.6587,19.6881398645456,4.7
283,412035,PRANCHITA,31.5478467578696,0.7523,0.7815,0.8999,0.782,0.0539552010595798,62.6370184779205,26.397029215695,118.857142857143,1.0,33.5555456131717,3.8
284,412040,PRESIDENTE CASTELO BRANCO,22.0863437937828,0.6721,0.6164,0.9194,0.798,0.592914998531342,70.4469588589761,0.0,8.5,0.9202,0.0,15.6
285,412050,PRIMEIRO DE MAIO,26.4392460705946,0.6511,1.0937,0.8996,0.8141,0.054465901106596,7.10558905333252,0.0,0.0,1.0,24.3620196114258,14.2
286,412060,PRUDENTOPOLIS,24.0866537219627,0.7379,0.606,0.9051,0.8337,0.688592970371246,55.38711593161,31.506892132654,280.117647058824,1.0,57.8251492513987,3.8
287,412065,QUARTO CENTENARIO,23.1980098373503,0.7796,0.6584,0.8397,0.7254,0.118396997451782,0.0,0.0,0.0,1.0,224.473700175939,2.9
288,412070,QUATIGUA,31.919078648948,0.7265,0.7743,0.9204,0.7902,0.467743992805481,0.0,0.0,0.0,0.8712,34.5474286842365,4.7
289,412080,QUATRO BARRAS,19.5736501385287,0.839,0.4263,0.9453,0.871,0.238156005740166,20.8444681988242,0.89078923926599,1.75,1.0,75.7170853376091,14.4
290,412085,QUATRO PONTES,16.8103060657854,0.8156,0.8325,0.9798,0.966,0.327978998422623,81.3716942749201,14.53065969195,0.0,1.0,0.0,39.2
291,412090,QUEDAS DO IGUACU,24.540120151535,0.7075,0.501,0.8656,0.737,0.033925499767065,24.2271927620005,4.90072882633828,0.0,1.0,0.502638853983413,6.3
292,412100,QUERENCIA DO NORTE,30.1886464890171,0.6925,0.5557,0.8006,0.6429,0.0,15.6454818385555,7.61131548902702,0.0,1.0,8.87986807053152,3.3
293,412110,QUINTA DO SOL,33.013768643052,0.7134,0.7313,0.8295,0.6083,0.273400008678436,27.5470418715036,0.0,0.0,1.0,259.931061761881,10.7
294,412120,QUITANDINHA,17.1634043282544,0.6929,0.6332,0.9381,0.8193,0.0864052996039391,16.4294484893554,0.0,0.0,1.0,8.64707815229234,2.0
295,412125,RAMILANDIA,21.4696687205642,0.6061,0.4989,0.778,0.587,0.47851300239563,0.0,0.0,3.0,1.0,71.466185210261,1.0
296,412130,RANCHO ALEGRE,25.9039130581807,0.7054,1.2363,0.915,0.7446,0.0975503996014595,0.0,0.0,4.33333333333333,0.8271,0.0,8.1
297,412135,RANCHO ALEGRE D'OESTE,22.7255001005375,0.7237,0.7289,0.8494,0.7163,0.125870004296303,0.0,0.0,75.1875,1.0,335.799104535721,7.6
298,412140,REALEZA,28.3116232329481,0.7812,0.6806,0.9034,0.8064,0.257775992155075,20.7426173699628,6.33362362441612,0.0,1.0,18.2091679201963,7.6
299,412150,REBOUCAS,28.5713436080655,0.725,0.6066,0.9417,0.8422,0.41975399851799,123.448712076599,114.07009967502,7.22950819672131,1.0,1.09053632576501,2.3
300,412160,RENASCENCA,30.0655289381671,0.7761,0.6635,0.8812,0.7737,0.669793009757996,45.8346375709878,0.0,66.5,0.8729,230.291105844475,5.4
301,412170,RESERVA,22.183536204341,0.6661,0.5048,0.8012,0.6708,0.0739402025938034,6.3454873822424,0.0,4.5,0.7932,0.0,2.7
302,412175,RESERVA DO IGUACU,14.7446295768966,0.6805,0.3475,0.8234,0.6637,0.15481199324131,37.5296649925493,0.0,0.0,1.0,71.7478889563442,2.3
303,412180,RIBEIRAO CLARO,31.9738276174862,0.7428,0.792,0.9296,0.8343,0.843217015266418,13.7111148749465,0.0,0.0,1.0,38.7137361174962,7.1
304,412190,RIBEIRAO DO PINHAL,24.6684514114406,0.6811,0.7048,0.815,0.674,0.490000009536743,11.077590270576,8.17070488042488,1.33333333333333,1.0,4.71386820024512,7.5
305,412200,RIO AZUL,28.0746149995162,0.6994,0.5519,0.9603,0.9139,0.400691986083984,39.7671465874518,39.527585463431,24.0851063829787,1.0,0.0,1.8
306,412210,RIO BOM,30.0803963877823,0.7243,1.0132,0.8752,0.7199,0.151517003774643,9.82961992136304,0.0,0.0,1.0,0.0,4.6
307,412215,RIO BONITO DO IGUACU,20.1768745577216,0.6822,0.4274,0.9026,0.7606,0.0371305011212826,7.15205263910742,0.0,0.0,0.8637,25.032184236876,0.4
308,412217,RIO BRANCO DO IVAI,30.0167391378338,0.6511,0.5018,0.7613,0.5321,0.0309145003557205,0.0,0.0,0.0,1.0,0.0,0.2
309,412220,RIO BRANCO DO SUL,19.944327190565,0.6681,0.382,0.8784,0.6943,0.183927997946739,23.5043682646681,3.32608984877378,35.054347826087,0.787,41.391340340296,7.7
310,412230,RIO NEGRO,20.1020019752199,0.7911,0.5864,0.9697,0.9258,0.008547049947083,15.9890360895386,0.0,0.0,1.0,10.4276322323078,11.0
311,412240,ROLANDIA,27.0304034711208,0.7983,0.5673,0.9258,0.8166,0.368344008922577,17.9011910634999,0.0,58.0,1.0,14.3303498014894,23.3
312,412250,RONCADOR,33.9426003969294,0.7192,0.6679,0.8086,0.6177,0.124853998422623,18.617834217912,0.0,27.0,1.0,86.142218023175,3.6
313,412260,RONDON,27.1045494310844,0.7445,0.645,0.8828,0.7374,0.315582007169724,303.832206213859,16.6617661472116,12.4545454545455,1.0,405.109608285145,8.5
314,412265,ROSARIO DO IVAI,33.5082074272765,0.7258,0.881,0.794,0.6098,0.0136059997603297,40.8912188728702,0.0,0.0,1.0,0.0,1.4
315,412270,SABAUDIA,29.3187755474422,0.8169,0.5546,0.9028,0.7929,0.330453991889954,0.0,0.0,37.9423076923077,1.0,4.2165626581211,5.8
316,412280,SALGADO FILHO,25.6456442882988,0.7523,0.6948,0.8692,0.7567,0.352084010839462,38.2446360277436,0.0,22.0,0.946,84.2678420950282,1.3
317,412290,SALTO DO ITARARE,30.2271498620342,0.7458,0.8669,0.8596,0.688,0.158168002963066,0.0,0.0,20.375,1.0,25.1704727472427,1.6
318,412300,SALTO DO LONTRA,28.6222626535869,0.7544,0.624,0.883,0.7995,0.366504997014999,16.4869441226272,1.11398271098833,0.0,1.0,11.1398271098833,3.0
